ID,Genus,Substrate,Sub,BlockNum,DateMeasured,DatePlanted,DateHarvested,NumStems_Initial,Height_cm_Initial,Diameter_mm_Initial,NumStems,Height_cm,Diameter_mm,Condition,Notes_PreHarvest,DateWetWeighed,AGWetmass_g,BGWetmass_g,DateAGDryWeighed,AGDrymass_g,DateBGDryWeighed,BGDrymass_g,Totmass,Notes_Biomass,Dead,Exclude
98,Zizaniopsis,Coarse,C,9,4/12/2022,10/22/2021,4/20/2022,8,,,12,130,,5,,4/20/2022,91.4,272.7,5/1/2022,24.63,4/27/2022,33.72,58.35,,N,N
99,Salix,Dredge,D,9,4/12/2022,10/22/2021,4/20/2022,,,6.22,2,158,6.78,5,,4/20/2022,117.7,317,5/3/2022,40.85,4/29/2022,36.35,77.2,,N,N
100,Salix,Coarse,C,9,4/12/2022,11/7/2021,,,,4.25,0,0,4.23,1,,,,,,,,,,No roots. Dead since aphid invasion,Y,Y
101,Zizaniopsis,Dredge,D,9,4/12/2022,11/18/2021,4/20/2022,7,,,10,138.1,,5,,4/20/2022,55.4,141.1,5/1/2022,12.17,4/29/2022,13.67,25.84,,N,N
102,Sporobolus,Mix,M,9,4/12/2022,10/22/2021,4/20/2022,16,70.3,,23,122.9,,4,,4/20/2022,251.1,529.2,5/1/2022,70.32,4/28/2022,34.38,104.7,,N,N
103,Salix,Coarse,C,10,4/12/2022,10/22/2021,4/20/2022,,,6.31,3,120.2,6.64,5,,4/20/2022,80.8,311.7,5/1/2022,29.2,4/29/2022,14.97,44.17,,N,N
104,Sporobolus,Coarse,C,10,4/12/2022,10/22/2021,4/20/2022,13,65.8,,12,138.2,,4,,4/20/2022,196,278.2,5/3/2022,63.49,4/29/2022,18.45,81.94,,N,N
105,Sporobolus,Mix,M,10,4/12/2022,10/22/2021,4/20/2022,16,81.6,,29,157.7,,4,,4/20/2022,335,948.8,5/3/2022,112.28,4/29/2022,43.66,155.94,"very big/wet. Weighed in two parts, 237.3+711.5",N,N
106,Zizaniopsis,Dredge,D,10,4/12/2022,10/22/2021,4/20/2022,8,,,13,122.6,,5,,4/20/2022,96.8,327.1,5/1/2022,25.16,4/29/2022,36.61,61.77,,N,N
107,Salix,Dredge,D,10,4/12/2022,10/22/2021,4/20/2022,,,4.73,1,75.4,3.88,5,,4/20/2022,24.2,33.9,5/1/2022,8.23,4/29/2022,3.8,12.03,,N,N
108,Sporobolus,Dredge,D,10,4/12/2022,10/22/2021,4/20/2022,13,64,,32,167.9,,4,,4/20/2022,325.1,649.9,5/3/2022,104.67,4/29/2022,50.57,155.24,,N,N
109,Sporobolus,Dredge,D,9,4/12/2022,10/22/2021,4/20/2022,6,43.5,,12,124.7,,4,,4/20/2022,131.3,180.8,5/3/2022,36.77,4/28/2022,14.9,51.67,,N,N
